기준일자,내국인 총 접수자,ARS 접수자,모바일 접수자,총 당첨자,ARS 담청자,모바일 담청자,당첨자 입장권 구매 건 수,당첨자 입장권 구매율
2026-06-01,2334,464,1870,2334,464,1870,917,39.28
2026-06-02,2280,447,1833,2280,447,1833,848,37.19
2026-06-03,3475,614,2861,2995,527,2468,1168,38.99
2026-06-04,2443,416,2027,2443,416,2027,788,32.25
2026-06-05,2579,438,2141,2579,438,2141,925,35.86
2026-06-06,4443,786,3657,2991,525,2466,1399,46.77
2026-06-07,4056,750,3306,2995,556,2439,1138,37.99
2026-06-08,2290,440,1850,2290,440,1850,722,31.52
2026-06-09,2187,427,1760,2187,427,1760,727,33.24
2026-06-10,2399,448,1951,2399,448,1951,723,30.13
2026-06-11,2530,479,2051,2530,479,2051,755,29.84
2026-06-12,2819,485,2334,2819,485,2334,812,28.8
2026-06-13,4352,746,3606,2992,502,2490,1212,40.5
2026-06-14,4251,764,3487,2989,543,2446,991,33.15
2026-06-15,2734,504,2230,2734,504,2230,713,26.07
2026-06-16,2428,465,1963,2428,465,1963,696,28.66
2026-06-17,2080,389,1691,2080,389,1691,663,31.87
2026-06-18,2137,380,1757,2137,380,1757,645,30.18
2026-06-19,2301,364,1937,2301,364,1937,685,29.76
2026-06-20,3866,645,3221,2990,508,2482,1328,44.41
2026-06-21,3497,658,2839,2989,563,2426,1032,34.52
2026-06-22,1850,338,1512,1850,338,1512,617,33.35
2026-06-23,1733,345,1388,1733,345,1388,580,33.46
2026-06-24,1877,362,1515,1877,362,1515,602,32.07
2026-06-25,1915,342,1573,1915,342,1573,563,29.39
2026-06-26,2287,390,1897,2287,390,1897,780,34.1
2026-06-27,3749,647,3102,2995,530,2465,1330,44.4
2026-06-28,3491,611,2880,2994,519,2475,1095,36.57
2026-06-29,1876,369,1507,1876,369,1507,625,33.31
2026-06-30,1775,352,1423,1775,352,1423,644,36.28
