입장일자,외국인 입장권 발행수,외국인 실제 입장인원수,외국인 미입장인원수
2026-06-01,60,60,0
2026-06-02,49,49,0
2026-06-03,55,55,0
2026-06-04,55,55,0
2026-06-05,67,67,0
2026-06-06,90,90,0
2026-06-07,50,50,0
2026-06-08,49,49,0
2026-06-09,60,60,0
2026-06-10,59,59,0
2026-06-11,59,59,0
2026-06-12,45,45,0
2026-06-13,69,69,0
2026-06-14,52,52,0
2026-06-15,68,67,1
2026-06-16,57,57,0
2026-06-17,63,63,0
2026-06-18,58,58,0
2026-06-19,70,70,0
2026-06-20,72,72,0
2026-06-21,85,85,0
2026-06-22,53,53,0
2026-06-23,62,61,1
2026-06-24,71,71,0
2026-06-25,59,59,0
2026-06-26,67,67,0
2026-06-27,135,134,1
2026-06-28,60,58,2
2026-06-29,55,55,0
2026-06-30,56,56,0
