기준일자,총 접수자,ARS 접수자,모바일 접수자,총 당첨자,ARS 담청자,모바일 담청자,당첨자 입장권 구매 건 수,당첨자 입장권 구매율
2026-06-01,6,4,2,6,4,2,3,50
2026-06-02,4,3,1,4,3,1,1,25
2026-06-03,6,4,2,5,4,1,3,60
2026-06-04,5,4,1,5,4,1,1,20
2026-06-05,6,6,0,6,6,0,3,50
2026-06-06,10,9,1,9,8,1,8,88.88
2026-06-07,9,7,2,5,3,2,4,80
2026-06-08,8,6,2,8,6,2,3,37.5
2026-06-09,7,4,3,7,4,3,2,28.57
2026-06-10,7,5,2,7,5,2,0,0
2026-06-11,6,5,1,6,5,1,1,16.66
2026-06-12,6,4,2,6,4,2,1,16.66
2026-06-13,10,9,1,8,7,1,3,37.5
2026-06-14,11,9,2,10,8,2,4,40
2026-06-15,5,4,1,5,4,1,1,20
2026-06-16,6,4,2,6,4,2,0,0
2026-06-17,4,2,2,4,2,2,2,50
2026-06-18,6,5,1,6,5,1,0,0
2026-06-19,4,4,0,4,4,0,0,0
2026-06-20,10,7,3,9,6,3,1,11.11
2026-06-21,11,9,2,11,9,2,7,63.63
2026-06-22,4,3,1,4,3,1,1,25
2026-06-23,3,3,0,3,3,0,0,0
2026-06-24,2,2,0,2,2,0,0,0
2026-06-25,4,3,1,4,3,1,1,25
2026-06-26,6,4,2,6,4,2,3,50
2026-06-27,6,4,2,5,3,2,4,80
2026-06-28,7,6,1,6,5,1,3,50
2026-06-29,5,5,0,5,5,0,3,60
2026-06-30,3,3,0,3,3,0,2,66.66
