입장일자,내국인 입장권 발행수,내국인 실제 입장인원수,내국인 미입장인원수
2026-06-01,5862,5861,1
2026-06-02,6811,6805,6
2026-06-03,6461,6458,3
2026-06-04,5364,5361,3
2026-06-05,7148,7141,7
2026-06-06,8776,8768,8
2026-06-07,6540,6538,2
2026-06-08,5275,5275,0
2026-06-09,5184,5181,3
2026-06-10,5366,5360,6
2026-06-11,5166,5164,2
2026-06-12,6111,6103,8
2026-06-13,7876,7872,4
2026-06-14,6133,6130,3
2026-06-15,5148,5144,4
2026-06-16,5226,5225,1
2026-06-17,4948,4943,5
2026-06-18,4876,4870,6
2026-06-19,6677,6668,9
2026-06-20,8501,8490,11
2026-06-21,6190,6185,5
2026-06-22,4909,4902,7
2026-06-23,4873,4869,4
2026-06-24,4770,4767,3
2026-06-25,5193,5189,4
2026-06-26,7073,7066,7
2026-06-27,8263,8257,6
2026-06-28,6407,6404,3
2026-06-29,5214,5212,2
2026-06-30,5272,5269,3
